id,node_id,hub_id,span,span2hub,direction,type
487,ZN0454,ZN1308,30,13620,内圈,主线
488,ZN0455,ZN1308,30,13650,内圈,主线
489,ZN0456,ZN1308,30,13680,内圈,主线
490,ZN0457,ZN1308,30,13710,内圈,主线
491,ZN0458,ZN1308,30,13740,内圈,主线
492,ZN0459,ZN1308,30,13770,内圈,主线
493,ZN0460,ZN1308,30,13800,内圈,主线
494,ZN0461,ZN1308,30,13830,内圈,主线
495,ZN0462,ZN1308,30,13860,内圈,主线
496,ZN0463,ZN1308,30,13890,内圈,主线
497,ZN0464,ZN1308,30,13920,内圈,主线
498,ZN0465,ZN1308,30,13950,内圈,主线
499,ZN0466,ZN1308,30,13980,内圈,主线
500,ZN0467,ZN1308,30,14010,内圈,主线
501,ZN0468,ZN1308,30,14040,内圈,主线
502,ZN0469,ZN1308,30,14070,内圈,主线
503,ZN0470,ZN1308,30,14100,内圈,主线
504,ZN0471,ZN1308,30,14130,内圈,主线
505,ZN0472,ZN1308,30,14160,内圈,主线
506,ZN0473,ZN1308,30,14190,内圈,主线
507,ZN0474,ZN1308,30,14220,内圈,主线
508,ZN0475,ZN1308,30,14250,内圈,主线
509,ZN0476,ZN1308,30,14280,内圈,主线
510,ZN0477,ZN1308,30,14310,内圈,主线
511,ZN0478,ZN1308,30,14340,内圈,主线
512,ZN0479,ZN1308,30,14370,内圈,主线
513,ZN0480,ZN1308,30,14400,内圈,主线
514,ZN0481,ZN1308,30,14430,内圈,主线
515,ZN0482,ZN1308,30,14460,内圈,主线
516,ZN0483,ZN1308,30,14490,内圈,主线
517,ZN0484,ZN1308,30,14520,内圈,主线
518,ZN0485,ZN1308,30,14550,内圈,主线
519,ZN0486,ZN1308,30,14580,内圈,主线
520,ZN0487,ZN1308,30,14610,内圈,主线
521,ZN0488,ZN1308,30,14640,内圈,主线
522,ZN0489,ZN1308,30,14670,内圈,主线
523,ZN0490,ZN1308,30,14700,内圈,主线
524,ZN0491,ZN1308,30,14730,内圈,主线
525,ZN0492,ZN1308,30,14760,内圈,主线
526,ZN0493,ZN1308,30,14790,内圈,主线
527,ZN0494,ZN1308,30,14820,内圈,主线
528,ZN0495,ZN1308,30,14850,内圈,主线
529,ZN0496,ZN1308,30,14880,内圈,主线
530,ZN0497,ZN1308,30,14910,内圈,主线
531,ZN0498,ZN1308,30,14940,内圈,主线
532,ZN0499,ZN1308,30,14970,内圈,主线
533,ZN0500,ZN1308,30,15000,内圈,主线
534,ZN0501,ZN1308,30,15030,内圈,主线
535,ZN0502,ZN1308,30,15060,内圈,主线
536,ZN0503,ZN1308,30,15090,内圈,主线
